Time(s)	UC1(V)	UC2(V)	I2(A)	U2(V)	U1(V)
0.000000	0.000000	0.000000	0.000000	0.000000	-10.000000
0.000015	-0.000000	-0.000000	-0.000010	-0.000308	-9.900000
0.000030	-0.000000	-0.000000	-0.000020	-0.000614	-9.800000
0.000045	-0.000000	-0.000000	-0.000030	-0.000916	-9.700000
0.000060	-0.000001	-0.000000	-0.000039	-0.001215	-9.600000
0.000075	-0.000001	-0.000001	-0.000049	-0.001511	-9.500000
0.000090	-0.000002	-0.000001	-0.000058	-0.001805	-9.400000
0.000105	-0.000002	-0.000001	-0.000068	-0.002095	-9.300000
0.000120	-0.000003	-0.000002	-0.000077	-0.002381	-9.200000
0.000135	-0.000004	-0.000002	-0.000086	-0.002665	-9.100000
0.000150	-0.000005	-0.000002	-0.000095	-0.002946	-9.000000
0.000165	-0.000006	-0.000003	-0.000104	-0.003224	-8.900000
0.000180	-0.000007	-0.000004	-0.000113	-0.003498	-8.800000
0.000195	-0.000008	-0.000004	-0.000121	-0.003770	-8.700000
0.000210	-0.000009	-0.000005	-0.000130	-0.004038	-8.600000
0.000225	-0.000011	-0.000006	-0.000139	-0.004303	-8.500000
0.000240	-0.000012	-0.000006	-0.000147	-0.004566	-8.400000
0.000255	-0.000014	-0.000007	-0.000155	-0.004825	-8.300000
0.000270	-0.000015	-0.000008	-0.000164	-0.005081	-8.200000
0.000285	-0.000017	-0.000009	-0.000172	-0.005334	-8.100000
0.000300	-0.000019	-0.000010	-0.000180	-0.005584	-8.000000
0.000315	-0.000020	-0.000011	-0.000188	-0.005830	-7.900000
0.000330	-0.000022	-0.000012	-0.000196	-0.006074	-7.800000
0.000345	-0.000024	-0.000013	-0.000203	-0.006315	-7.700000
0.000360	-0.000026	-0.000014	-0.000211	-0.006552	-7.600000
0.000375	-0.000028	-0.000015	-0.000218	-0.006787	-7.500000
0.000390	-0.000031	-0.000016	-0.000226	-0.007018	-7.400000
0.000405	-0.000033	-0.000017	-0.000233	-0.007246	-7.300000
0.000420	-0.000035	-0.000018	-0.000240	-0.007472	-7.200000
0.000435	-0.000038	-0.000020	-0.000248	-0.007694	-7.100000
0.000450	-0.000040	-0.000021	-0.000255	-0.007913	-7.000000
0.000465	-0.000043	-0.000022	-0.000262	-0.008129	-6.900000
0.000480	-0.000045	-0.000024	-0.000268	-0.008342	-6.800000
0.000495	-0.000048	-0.000025	-0.000275	-0.008551	-6.700000
0.000510	-0.000051	-0.000026	-0.000282	-0.008758	-6.600000
0.000525	-0.000054	-0.000028	-0.000288	-0.008962	-6.500000
0.000540	-0.000056	-0.000029	-0.000295	-0.009162	-6.400000
0.000555	-0.000059	-0.000031	-0.000301	-0.009360	-6.300000
