t, uC1, uC2, iL2, u1
0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000015, 0.045744, 0.000000, 0.000000, 0.150000
0.000030, 0.147228, 0.000000, 0.000000, 0.300000
0.000045, 0.274651, 0.000000, 0.000000, 0.450000
0.000060, 0.414145, 0.000000, 0.000000, 0.600000
0.000075, 0.559256, 0.000000, 0.000000, 0.750000
0.000090, 0.706980, 0.000000, 0.000000, 0.900000
0.000105, 0.855922, 0.000000, 0.000000, 1.050000
0.000120, 1.005429, 0.000000, 0.000000, 1.200000
0.000135, 1.155200, 0.000000, 0.000000, 1.350000
0.000150, 1.305093, 0.000000, 0.000000, 1.500000
0.000165, 1.455043, 0.000000, 0.000000, 1.650000
0.000180, 1.605020, 0.000000, 0.000000, 1.800000
0.000195, 1.755009, 0.000000, 0.000000, 1.950000
0.000210, 1.905004, 0.000000, 0.000000, 2.100000
0.000225, 2.055002, 0.000000, 0.000000, 2.250000
0.000240, 2.205001, 0.000000, 0.000000, 2.400000
0.000255, 2.355000, 0.000000, 0.000000, 2.550000
0.000270, 2.505000, 0.000000, 0.000000, 2.700000
0.000285, 2.655000, 0.000000, 0.000000, 2.850000
0.000300, 2.805000, 0.000000, 0.000000, 3.000000
0.000315, 2.955000, 0.000000, 0.000000, 3.150000
0.000330, 3.105000, 0.000000, 0.000000, 3.300000
0.000345, 3.255000, 0.000000, 0.000000, 3.450000
0.000360, 3.405000, 0.000000, 0.000000, 3.600000
0.000375, 3.555000, 0.000000, 0.000000, 3.750000
0.000390, 3.705000, 0.000000, 0.000000, 3.900000
0.000405, 3.855000, 0.000000, 0.000000, 4.050000
0.000420, 4.005000, 0.000000, 0.000000, 4.200000
0.000435, 4.155000, 0.000000, 0.000000, 4.350000
0.000450, 4.305000, 0.000000, 0.000000, 4.500000
0.000465, 4.455000, 0.000000, 0.000000, 4.650000
0.000480, 4.605000, 0.000000, 0.000000, 4.800000
0.000495, 4.755000, 0.000000, 0.000000, 4.950000
0.000510, 4.905000, 0.000000, 0.000000, 5.100000
0.000525, 5.055000, 0.000000, 0.000000, 5.250000
0.000540, 5.205000, 0.000000, 0.000000, 5.400000
0.000555, 5.355000, 0.000000, 0.000000, 5.550000
0.000570, 5.505000, 0.000000, 0.000000, 5.700000
0.000585, 5.655000, 0.000000, 0.000000, 5.850000
0.000600, 5.805000, 0.000000, 0.000000, 6.000000
0.000615, 5.955000, 0.000000, 0.000000, 6.150000
0.000630, 6.105000, 0.000000, 0.000000, 6.300000
0.000645, 6.255000, 0.000000, 0.000000, 6.450000
0.000660, 6.405000, 0.000000, 0.000000, 6.600000
0.000675, 6.555000, 0.000000, 0.000000, 6.750000
0.000690, 6.705000, 0.000000, 0.000000, 6.900000
0.000705, 6.855000, 0.000000, 0.000000, 7.050000
0.000720, 7.005000, 0.000000, 0.000000, 7.200000
0.000735, 7.155000, 0.000000, 0.000000, 7.350000
0.000750, 7.305000, 0.000000, 0.000000, 7.500000
0.000765, 7.455000, 0.000000, 0.000000, 7.650000
0.000780, 7.605000, 0.000000, 0.000000, 7.800000
0.000795, 7.755000, 0.000000, 0.000000, 7.950000
0.000810, 7.905000, 0.000000, 0.000000, 8.100000
0.000825, 8.055000, 0.000000, 0.000000, 8.250000
0.000840, 8.205000, 0.000000, 0.000000, 8.400000
0.000855, 8.355000, 0.000000, 0.000000, 8.550000
0.000870, 8.505000, 0.000000, 0.000000, 8.700000
0.000885, 8.655000, 0.000000, 0.000000, 8.850000
0.000900, 8.805000, 0.000000, 0.000000, 9.000000
0.000915, 8.955000, 0.000000, 0.000000, 9.150000
0.000930, 9.105000, 0.000000, 0.000000, 9.300000
0.000945, 9.255000, 0.000000, 0.000000, 9.450000
0.000960, 9.405000, 0.000000, 0.000000, 9.600000
0.000975, 9.555000, 0.000000, 0.000000, 9.750000
0.000990, 9.705000, 0.000000, 0.000000, 9.900000
0.001005, 9.848590, 0.000000, 0.000000, 10.000000
0.001020, 9.929541, 0.000000, 0.000000, 10.000000
0.001035, 9.967211, 0.000000, 0.000000, 10.000000
0.001050, 9.984742, 0.000000, 0.000000, 10.000000
0.001065, 9.992899, 0.000000, 0.000000, 10.000000
0.001080, 9.996696, 0.000000, 0.000000, 10.000000
0.001095, 9.998462, 0.000000, 0.000000, 10.000000
0.001110, 9.999284, 0.000000, 0.000000, 10.000000
0.001125, 9.999667, 0.000000, 0.000000, 10.000000
0.001140, 9.999845, 0.000000, 0.000000, 10.000000
0.001155, 9.999928, 0.000000, 0.000000, 10.000000
